City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
442,Panaba,MX,2022-12-20 21:44:18,21.2833,-88.2667,81.63,65,23,10.09
443,Coquimbo,CL,2022-12-20 21:44:19,-29.9533,-71.3436,67.73,68,0,13.8
444,Punta Arenas,CL,2022-12-20 21:41:35,-53.15,-70.9167,69.91,30,40,11.5
445,Hermanus,ZA,2022-12-20 21:40:03,-34.4187,19.2345,62.8,69,5,14.32
446,Hilo,US,2022-12-20 21:39:30,19.7297,-155.09,81.25,67,0,5.99
447,Payo,ID,2022-12-20 21:44:20,-3.7508,103.6372,72.75,99,91,1.14
448,Ciudad Bolivar,VE,2022-12-20 21:44:21,8.1222,-63.5497,82.54,61,100,8.1
449,Provideniya,RU,2022-12-20 21:35:49,64.3833,-173.3,24.91,68,0,11.18
450,Kapaa,US,2022-12-20 21:34:37,22.0752,-159.319,80.92,56,100,11.5
451,Hithadhoo,MV,2022-12-20 21:40:09,-0.6,73.0833,80.67,71,100,13.11
452,Ushuaia,AR,2022-12-20 21:38:42,-54.8,-68.3,55.06,67,75,8.05
453,Saskylakh,RU,2022-12-20 21:44:23,71.9167,114.0833,-38.09,97,10,6.85
454,Hofn,IS,2022-12-20 21:44:23,64.2539,-15.2082,34.3,63,100,37.71
455,Nikolskoye,RU,2022-12-20 21:35:41,59.7035,30.7861,17.49,94,99,8.01
456,Perth,AU,2022-12-20 21:40:12,-31.9333,115.8333,71.04,44,0,18.41
457,Taoudenni,ML,2022-12-20 21:44:25,22.6783,-3.9836,67.15,22,0,11.68
458,Morondava,MG,2022-12-20 21:44:25,-20.2833,44.2833,79.97,82,93,8.46
459,Vaini,TO,2022-12-20 21:45:26,-21.2,-175.2,86.16,79,40,13.8
460,Yellowknife,CA,2022-12-20 21:44:04,62.456,-114.3525,-28.68,75,20,6.91
461,Hobart,AU,2022-12-20 21:34:07,-42.8794,147.3294,61.23,71,58,1.99
462,Atasu,KZ,2022-12-20 21:45:27,48.6814,71.6433,14.86,90,100,12.33
463,Ilulissat,GL,2022-12-20 21:45:28,69.2167,-51.1,1.96,75,58,5.5
464,Port Hedland,AU,2022-12-20 21:45:29,-20.3167,118.5667,73.45,78,40,8.05
465,Hermanus,ZA,2022-12-20 21:45:29,-34.4187,19.2345,62.8,69,5,14.32
466,Ko Samui,TH,2022-12-20 21:45:30,9.5357,99.9357,79.83,69,27,9.53
467,Banos,EC,2022-12-20 21:45:30,-1.4,-78.4167,78.01,74,91,5.48
468,Ahipara,NZ,2022-12-20 21:45:31,-35.1667,173.1667,71.04,62,2,7.2
469,Hermanus,ZA,2022-12-20 21:45:29,-34.4187,19.2345,62.8,69,5,14.32
470,Coronado,US,2022-12-20 21:45:06,32.6859,-117.1831,73.26,41,20,11.99
471,Pacifica,US,2022-12-20 21:45:32,37.6138,-122.4869,57.99,70,40,8.99
472,Bataipora,BR,2022-12-20 21:45:33,-22.2953,-53.2711,79.45,57,22,6.87
473,Sept-Iles,CA,2022-12-20 21:43:02,50.2001,-66.3821,32.43,79,75,6.91
474,Rikitea,PF,2022-12-20 21:45:34,-23.1203,-134.9692,76.68,87,47,19.35
475,Luderitz,NA,2022-12-20 21:41:32,-26.6481,15.1594,66.49,69,0,17.38
476,Busselton,AU,2022-12-20 21:41:19,-33.65,115.3333,58.95,82,14,12.28
477,Chokurdakh,RU,2022-12-20 21:45:34,70.6333,147.9167,-9.29,100,58,1.23
478,Ilulissat,GL,2022-12-20 21:45:28,69.2167,-51.1,1.96,75,58,5.5
479,Iqaluit,CA,2022-12-20 21:41:33,63.7506,-68.5145,-0.31,77,40,13.8
480,Russell,US,2022-12-20 21:45:08,32.3502,-85.1999,45.19,93,75,4.61
481,Hithadhoo,MV,2022-12-20 21:45:36,-0.6,73.0833,80.67,71,100,13.11
